,Text,sentiment_scores,neg_score,neu_score,pos_score,compound_score,target
5993,"really like coffee , great flavor make strong . subscribe thing works right .","{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8874}",0.0,0.433,0.567,0.8874,1
5994,"like yummy homemade hot cocoa , benefit delicious cup coffee , ! great deal ! get lasts ! good last drop , could say ! < br / > enjoy !","{'neg': 0.055, 'neu': 0.315, 'pos': 0.63, 'compound': 0.9715}",0.055,0.315,0.63,0.9715,1
6021,"one favorite restaurants serves tea iced . kind enough share brand name asked . makes wonderful , refreshing healthful iced tea . highly recommend .","{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.9336}",0.0,0.498,0.502,0.9336,1
6033,well u get energy u really want 5 hours really boast u bit u calm need rest .. bad great product,"{'neg': 0.135, 'neu': 0.385, 'pos': 0.48, 'compound': 0.788}",0.135,0.385,0.48,0.788,1
6034,"energy drink great product . shipping price crazy tho . paid shipping products together , great deal .","{'neg': 0.106, 'neu': 0.441, 'pos': 0.454, 'compound': 0.836}",0.106,0.441,0.454,0.836,1
6040,"moistest , delicious cake world . like almond tarts , marzipan , kind taste , love cake . normally think packaged cake awful , way . one amazing .","{'neg': 0.087, 'neu': 0.405, 'pos': 0.509, 'compound': 0.9393}",0.087,0.405,0.509,0.9393,1
6057,"love hot chocolate . opinion , 's best market . nice grown-up flavor chocolate coffee .","{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9042}",0.0,0.446,0.554,0.9042,1
6062,"absolutely best hot chocolate . sweet , adults kids . easy make . add milk . intense mixing required . dissolves easily .","{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.92}",0.0,0.438,0.562,0.92,1
6066,"great deal great transaction ! finally , affordable way indulge chocolate craving . definitely buy !","{'neg': 0.0, 'neu': 0.439, 'pos': 0.561, 'compound': 0.9097}",0.0,0.439,0.561,0.9097,1
6067,"ghiradelli might make best chocolate world , chocolate mix personal favorite . rich mixes easily without residue bottom cup lesser brands suffer . mocha flavor good strong coffee flavor n't overpower chocolate . simply great hot chocolate well worth getting enjoy mocha . also mixes well milk shakes !","{'neg': 0.052, 'neu': 0.459, 'pos': 0.49, 'compound': 0.981}",0.052,0.459,0.49,0.981,1
6072,"best hot chocolate , far .. easily available area. < br / > love mocha & double chocolate","{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.8957}",0.0,0.481,0.519,0.8957,1
6083,absolutely love peanut butter strawberry kind bars ! taste like peanut butter jelly sandwich !,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.8996}",0.0,0.477,0.523,0.8996,1
6090,"good lemonade mix . close fresh taste . love stevia . like much crystal light mixes artificial sweeteners . take anywhere , mix bottled water , refreshing , healthy , safe , cool drink .","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.9571}",0.0,0.476,0.524,0.9571,1
6092,dogs loved ... cheap . problem oily touch ... given outside great !,"{'neg': 0.142, 'neu': 0.421, 'pos': 0.437, 'compound': 0.7644}",0.142,0.421,0.437,0.7644,1
6094,christmas present son law collects super hero stuff . surprised really liked .,"{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9099}",0.0,0.359,0.641,0.9099,1
6101,carrot juice best . 've tried many brands tastiest . love carrot/orange super veggie . 's healthy great tasting ... ca n't get better .,"{'neg': 0.066, 'neu': 0.411, 'pos': 0.523, 'compound': 0.9565}",0.066,0.411,0.523,0.9565,1
6107,"hard find whenever try stock . great flavor , perfect munching still pretty healthy . highly recommended .","{'neg': 0.056, 'neu': 0.318, 'pos': 0.627, 'compound': 0.9371}",0.056,0.318,0.627,0.9371,1
6119,"tiny bit grainy .. n't bother bit , kids really like - use `` chocolate syrup '' substitute kids milk make box go - really love - 's great drinking full strength . sweet . love !","{'neg': 0.0, 'neu': 0.482, 'pos': 0.518, 'compound': 0.9768}",0.0,0.482,0.518,0.9768,1
6129,"great meal replacement drink tastes great ! get plenty protein vital nutrients . prepare one whenever 'm go wo n't worry missing meal . best bang buck , especially subscribe amazon subscribe save program .","{'neg': 0.0, 'neu': 0.475, 'pos': 0.525, 'compound': 0.9731}",0.0,0.475,0.525,0.9731,1
6134,best flour home made pizza . best tasting crust found . works best super hot oven n't pizza oven .,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.9552}",0.0,0.441,0.559,0.9552,1
6141,"great value , great size snack , even share , great snack ..... yummy . n't tried flavors , might .","{'neg': 0.0, 'neu': 0.307, 'pos': 0.693, 'compound': 0.9652}",0.0,0.307,0.693,0.9652,1
6167,simply wonderful ! adds last little bit wow cake creations . back !,"{'neg': 0.0, 'neu': 0.402, 'pos': 0.598, 'compound': 0.8861}",0.0,0.402,0.598,0.8861,1
6170,gift lil sis . awesome . great flavor . taste berries rhubarb . love . likely order .,"{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.946}",0.0,0.343,0.657,0.946,1
6199,"smells great , looks great tastes great . guy likes strong espresso type coffee , surprised impressed bold flavor hint hazelnut . little half half great first thing morning .","{'neg': 0.0, 'neu': 0.347, 'pos': 0.653, 'compound': 0.9836}",0.0,0.347,0.653,0.9836,1
6200,"husband loves hazelnut coffee price flavored coffee high , used give week , afford give favorite everyday ! loves rich flavor !","{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.9391}",0.0,0.49,0.51,0.9391,1
6201,buying coffee least 3 years love . smooth taste hint hazelnut . friends enjoy coming good cup coffee .,"{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9246}",0.0,0.451,0.549,0.9246,1
6205,coffee good . tried lot hazelnut coffees one best got amazon . darker richer flavor hazelnut coffee . fresh tasty price great $ 6 per pound subscribe save . order,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.9674}",0.0,0.438,0.562,0.9674,1
6215,creme brulee good homemade ! bother homemade get delicious box ! easier make !,"{'neg': 0.122, 'neu': 0.356, 'pos': 0.522, 'compound': 0.8349}",0.122,0.356,0.522,0.8349,1
6224,"prefer rich , strong coffee product bit bland taste","{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.7845}",0.0,0.465,0.535,0.7845,1
6232,"excelent quality preserve lingonberry , ,i order , ,but shipment pack covered better strong materials , ,thank u great felix lingonberry","{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.9595}",0.0,0.43,0.57,0.9595,1
6248,"tea great flavor - almost 'd call 'spearmint ' flavor great honey sugar without cream . drink hot cool , 's still good . help relax go sleep 've long day . grandchildren love flavor often share pot tea perfectly safe . celestial seasoning teas great teas always sleepytime one classics ! 'd recommend tea anyone , celestial seasonings teas , probably ranks close number one list favorites . lot tea pantry -- son swears must stock , lol . like tea , try , really think 'll glad feel sleepytime truly one best teas . : )","{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.9957}",0.0,0.461,0.539,0.9957,1
6264,make product kind tex-mex meal . everyone loves . easy make tastes great .,"{'neg': 0.0, 'neu': 0.332, 'pos': 0.668, 'compound': 0.9337}",0.0,0.332,0.668,0.9337,1
6273,sooo happy amazon sells ! one grocery store neighborhood closing ! ! ! ! delicious ! ! ! perfect fiesta night !,"{'neg': 0.0, 'neu': 0.319, 'pos': 0.681, 'compound': 0.9522}",0.0,0.319,0.681,0.9522,1
6287,received box chocolate pleased . box excellent shape wrapped well . candies fresh delicious . would get .,"{'neg': 0.0, 'neu': 0.38, 'pos': 0.62, 'compound': 0.9287}",0.0,0.38,0.62,0.9287,1
6300,"great risotto . creates creamy finished product , maintaining good 'al dente ' bite , better rice used .","{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.9001}",0.0,0.455,0.545,0.9001,1
6313,"jumbo size great , makes easier consuming . ranch heads like , favor immediately upgrade . flavor even better , easily best david offer . great price amazon , especially since flavor seeds pretty hard find regular stores .","{'neg': 0.027, 'neu': 0.385, 'pos': 0.588, 'compound': 0.9821}",0.027,0.385,0.588,0.9821,1
6319,"excellent energy drink , drink one-a-day go daily walk , gives nice boost ! like taste , may take get used ! jitters boost !","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9466}",0.0,0.428,0.572,0.9466,1
6325,"great oysters , fast shipping . ca n't find local took chance great ! frozen got package well packed .","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9117}",0.0,0.488,0.512,0.9117,1
6340,love jerky beer drinker . recommend product sure nights around campfires !,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.8516}",0.0,0.43,0.57,0.8516,1
6341,great tasting good consistency meatiness . easy eat run ( mess ) .,"{'neg': 0.144, 'neu': 0.287, 'pos': 0.569, 'compound': 0.8126}",0.144,0.287,0.569,0.8126,1
6347,beef jerky lovers . like jerky best tasting stuff ive found anywhere . flavors great . black peppered opinion best wood smoked little dry still good . would recommend anybody .,"{'neg': 0.0, 'neu': 0.447, 'pos': 0.553, 'compound': 0.9737}",0.0,0.447,0.553,0.9737,1
6362,"good name good value ; texture size jerky fine , < br / > prepared salt . ruined .","{'neg': 0.148, 'neu': 0.286, 'pos': 0.567, 'compound': 0.7783}",0.148,0.286,0.567,0.7783,1
6377,love lemon pepper -- amazed one -- large grain fresh . large jar delighted use nearly everything . good tight jar keep fresh . inexpensive . good buy home cooks .,"{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.9643}",0.0,0.474,0.526,0.9643,1
6392,"terrific honey . one say ? great price got , -- much better local supermarkets .","{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8779}",0.0,0.471,0.529,0.8779,1
6395,"another favorite house . cat n't want 4 times month , still wants licks bowl clean . fish , favorite , really likes salmon one outstanding . 's ground ( n't make sliced bits version ? ) , favorite either , get pretty quickly . try one - 's definite winner .","{'neg': 0.022, 'neu': 0.481, 'pos': 0.497, 'compound': 0.9792}",0.022,0.481,0.497,0.9792,1
6398,"delicious , pretty good stuff . sweet like chewing leather like products 've tried . deffinately worth money people dont like crazy hot jerky still like little bite ,","{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.9743}",0.0,0.359,0.641,0.9743,1
6403,"good perfect tender meaty tasty delicious able eat one , believe tried . caps rude .","{'neg': 0.135, 'neu': 0.404, 'pos': 0.462, 'compound': 0.8074}",0.135,0.404,0.462,0.8074,1
6409,"ordered daughter , like coffee . says best tasting tea , brews perfectly keurig . also like large quantity box .","{'neg': 0.0, 'neu': 0.472, 'pos': 0.528, 'compound': 0.9246}",0.0,0.472,0.528,0.9246,1
6441,tried turkey burger sooo good . definitely recommend faery free . salt added better yet add sprinkle goya adobo .,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9231}",0.0,0.456,0.544,0.9231,1
6444,kitties love . goodlife treats good . kitties adore . beg plead . think must addictive cats .,"{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.8934}",0.0,0.483,0.517,0.8934,1
6456,"disagree review ! love little bits crunch otherwise really soft cookies . love banana taste , love cookies ! 's nice gluten free cookie option n't suck ! totally recommend !","{'neg': 0.111, 'neu': 0.385, 'pos': 0.504, 'compound': 0.9604}",0.111,0.385,0.504,0.9604,1
6463,"crave day night . best cookie/brownie bar ever tasted- headache-y sweet , rich cocoa flavor really great texture . hit spot . wish grocery stores !","{'neg': 0.0, 'neu': 0.468, 'pos': 0.532, 'compound': 0.9595}",0.0,0.468,0.532,0.9595,1
6467,kids love feel good giving . 're natural sweetened fruit juice instead sugar . like pop microwave 10 seconds - taste like fresh oven chocolate chip cookies . yum .,"{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.9538}",0.0,0.483,0.517,0.9538,1
6480,"daughter picky , like cookie much . n't seen product gfcfefsf good . great product .","{'neg': 0.0, 'neu': 0.486, 'pos': 0.514, 'compound': 0.8591}",0.0,0.486,0.514,0.8591,1
6481,"3.5 yr old daughter autism loves ! special gluten-free , casein-free soy-free diet wonderful snack .","{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.8858}",0.0,0.49,0.51,0.8858,1
6483,best ! wonderful way provide treat kids knowing healthy pure . taste excellant satisfies sweet tooth . highly recommend try .,"{'neg': 0.0, 'neu': 0.311, 'pos': 0.689, 'compound': 0.969}",0.0,0.311,0.689,0.969,1
6490,"since eat sugar , healthy options , perfect chocolate fix !","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.7712}",0.0,0.473,0.527,0.7712,1
6492,product definitely good gluten free cookies ! try pamela 's !,"{'neg': 0.0, 'neu': 0.387, 'pos': 0.613, 'compound': 0.8585}",0.0,0.387,0.613,0.8585,1
6503,careful ... even though listed gluten free section gluten free,"{'neg': 0.0, 'neu': 0.461, 'pos': 0.539, 'compound': 0.802}",0.0,0.461,0.539,0.802,1
6538,"good . close home made , 'm hurry , really appreciate hand .","{'neg': 0.0, 'neu': 0.39, 'pos': 0.61, 'compound': 0.8545}",0.0,0.39,0.61,0.8545,1
6542,"great taste . slight bitterness tea , 's black tea - 's bound little bitter , especially strong . strength perfect customizing taste . people like strong tea others like mild , add water want . like make fairly strong tea ( melting ice dilutes fine ) sweeten . like sweet tea , usually get , tastes like sugar water . give strong tea flavor love , add perfect amount sweetness . great product !","{'neg': 0.051, 'neu': 0.365, 'pos': 0.584, 'compound': 0.9946}",0.051,0.365,0.584,0.9946,1
6546,"prefer sweeten tea perfect . makes strong cup iced tea , may choose add water brewing . easy make great around . taste good .","{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.9509}",0.0,0.47,0.53,0.9509,1
6566,dog really enjoys treats plus help keep teeth clean . definatly purchase .,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.8399}",0.0,0.471,0.529,0.8399,1
6567,"got dogs love , smell pretty good breath little better smelling . excited open treat jar see yummy treats . like low calorie better breath~","{'neg': 0.052, 'neu': 0.297, 'pos': 0.651, 'compound': 0.9724}",0.052,0.297,0.651,0.9724,1
6570,dental sticks perfect two dogs food allergies love like price amazon .,"{'neg': 0.0, 'neu': 0.366, 'pos': 0.634, 'compound': 0.9022}",0.0,0.366,0.634,0.9022,1
6580,"tbe best fruit chews 've ever ! flavor texture great . son last summer first time boy scout ranch , philmont , new mexico . , course , said real treat . 'm glad found amazon ! well worth price ... great value !","{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.9778}",0.0,0.48,0.52,0.9778,1
6581,"great seller . product described . seller shipped product quickly . good , fair price . honey stingers far best training/race day nutrition buy . taste great , easy stomach , organic . love .","{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.9769}",0.0,0.422,0.578,0.9769,1
6588,taste good . easy stomach running . help keep energy long runs . love ! ! !,"{'neg': 0.0, 'neu': 0.277, 'pos': 0.723, 'compound': 0.9401}",0.0,0.277,0.723,0.9401,1
6590,"love things . unlike products , actually tastes really good . would recommend family friends .","{'neg': 0.0, 'neu': 0.376, 'pos': 0.624, 'compound': 0.9225}",0.0,0.376,0.624,0.9225,1
6631,refreshing light . little sweet side overly sweet . enjoyed orange flavor !,"{'neg': 0.0, 'neu': 0.437, 'pos': 0.563, 'compound': 0.8404}",0.0,0.437,0.563,0.8404,1
6658,good thing small . product several cuts sunny delight . terrible !,"{'neg': 0.276, 'neu': 0.208, 'pos': 0.515, 'compound': 0.68}",0.276,0.208,0.515,0.68,1
6695,"nice drink . enjoyed , especially chilled . flavor powerful overpowering . loved bubbles . great drink .","{'neg': 0.0, 'neu': 0.29, 'pos': 0.71, 'compound': 0.9529}",0.0,0.29,0.71,0.9529,1
6711,"big izzie fans , excited try sode . pleasantly pleased . orange taste , delicious feels good know absolutely sugar . , children want soda serve delighted . 's win/win !","{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9593}",0.0,0.443,0.557,0.9593,1
6725,"think sodas big waste money . said , opportunity try divine ! ! !","{'neg': 0.174, 'neu': 0.373, 'pos': 0.453, 'compound': 0.6679}",0.174,0.373,0.453,0.6679,1
6728,drink wonderful orange citrus flavor . robust strong . great natural alternative soda . 13 year old likes well . would hesitate purchase .,"{'neg': 0.062, 'neu': 0.324, 'pos': 0.615, 'compound': 0.9571}",0.062,0.324,0.615,0.9571,1
6798,natural flavor . loaded sugars things good . fresh taste orange/tangerine carbonation great . great taste . enjoyed product would recommend .,"{'neg': 0.0, 'neu': 0.315, 'pos': 0.685, 'compound': 0.967}",0.0,0.315,0.685,0.967,1
6856,expecting something like fanta sunkist surprised smooth subtle switch . definitely good combination refreshment flavor . love fact n't tast carbonated .,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9217}",0.0,0.496,0.504,0.9217,1
6857,tried black cherry version liked one much better . great orange taste plus benefit juice . corn syrup sweetner worried use . carbonation helps make satisfying drink quench thirst knowledge healthy satisfies mind well .,"{'neg': 0.045, 'neu': 0.427, 'pos': 0.528, 'compound': 0.9712}",0.045,0.427,0.528,0.9712,1
6880,"soda sounded like good idea , sweet . orange tangerine juice clear bitter tangy sugar particular flavor overwhelming . ( hand liked cherry much . ) would drink anyway , offered , certainly terrible . would buy .","{'neg': 0.133, 'neu': 0.429, 'pos': 0.438, 'compound': 0.91}",0.133,0.429,0.438,0.91,1
6889,good things come small packages ! ! excellent non-soda thirst quencher . sugar outstanding taste ! !,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.9147}",0.0,0.433,0.567,0.9147,1
6891,"taste like tang , expensive . 'm fan tang . love tang want convenience , might drink .","{'neg': 0.0, 'neu': 0.466, 'pos': 0.534, 'compound': 0.8519}",0.0,0.466,0.534,0.8519,1
6911,"really enjoyed drink ! lover orange juice sunkist type drinks eager try drink . perfect combination sweet fruity ! ! ! tangerine believe helps give extra lift sweet taste . 're trying cut back pop , highly recommend drink even refreshing treat !","{'neg': 0.037, 'neu': 0.445, 'pos': 0.518, 'compound': 0.9799}",0.037,0.445,0.518,0.9799,1
6923,switch great alternative sodas family ! love n't feel bad kids drinking . great variety flavors ! wish easily found stores .,"{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.968}",0.0,0.364,0.636,0.968,1
6926,switch fantastic replacement sodas . still enjoy carbonation fruit juice . satisfying .,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8689}",0.0,0.417,0.583,0.8689,1
6929,"flavor switch tried . tastes fine overly sweet . carbonation nice . importantly though , makes fantastic mixer use vodka .","{'neg': 0.0, 'neu': 0.449, 'pos': 0.551, 'compound': 0.91}",0.0,0.449,0.551,0.91,1
6966,"tea die . hits spot . easy make ice tea . friends love well . delighted serve . look forward drinking , new favorite drink !","{'neg': 0.112, 'neu': 0.345, 'pos': 0.543, 'compound': 0.9324}",0.112,0.345,0.543,0.9324,1
6986,worked great us . able reuse plastic parts couple times discarding . love able use favorite coffee .,"{'neg': 0.071, 'neu': 0.458, 'pos': 0.471, 'compound': 0.891}",0.071,0.458,0.471,0.891,1
6993,"great product - brought gift buying . user friendly product , easy use works kcup machine","{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.9201}",0.0,0.407,0.593,0.9201,1
7003,disposakups `` cats meow '' serve purpose thy intended well delivered promised time well packaged arrived good condition would recommend friends .,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.9217}",0.0,0.497,0.503,0.9217,1
7015,love disposable k-cups prefer use brand ( ) . accomplish job perfectly easy use . thankyou product . seller prompt shipping . good packaging . purchase . a++++,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.9517}",0.0,0.469,0.531,0.9517,1
7027,really enjoy disposable . thing would make better would cups lids made eco friendly material . coffee tastes great .,"{'neg': 0.0, 'neu': 0.487, 'pos': 0.513, 'compound': 0.9286}",0.0,0.487,0.513,0.9286,1
7040,"like disposakup lids , disposakup set good better . tossed previous keurig kcups , set take care . definitely purchasing .","{'neg': 0.0, 'neu': 0.437, 'pos': 0.563, 'compound': 0.9217}",0.0,0.437,0.563,0.9217,1
69,sooooo deliscious bad ate em fast gained 2 pds ! fault,"{'neg': 0.43, 'neu': 0.398, 'pos': 0.172, 'compound': -0.5983}",0.43,0.398,0.172,-0.5983,0
324,cancelled order . cancelled without problem . positive note ...,"{'neg': 0.525, 'neu': 0.303, 'pos': 0.171, 'compound': -0.567}",0.525,0.303,0.171,-0.567,0
381,condiments overpriced terrible . classic disgustingly sweet . spiced tastes like bad spicy marinara sauce chain restaurant .,"{'neg': 0.404, 'neu': 0.385, 'pos': 0.212, 'compound': -0.7184}",0.404,0.385,0.212,-0.7184,0
388,nuts arrived fresh tasty . broken dirty looking like cashews sometimes .,"{'neg': 0.459, 'neu': 0.276, 'pos': 0.265, 'compound': -0.5423}",0.459,0.276,0.265,-0.5423,0
750,"husband disappointed coffee , weak , watery cup coffee . definite waste $ 13.00 .","{'neg': 0.521, 'neu': 0.355, 'pos': 0.124, 'compound': -0.7717}",0.521,0.355,0.124,-0.7717,0
2443,"like strong coffee , coffee rated . found weak , sickening taste .","{'neg': 0.368, 'neu': 0.292, 'pos': 0.339, 'compound': -0.128}",0.368,0.292,0.339,-0.128,0
3333,"plain nasty ! ! ! item tasted like cardboard , watered flavor . disappointed","{'neg': 0.471, 'neu': 0.373, 'pos': 0.156, 'compound': -0.7249}",0.471,0.373,0.156,-0.7249,0
5264,"two cats must interested grass , grew ignored . problems growing .","{'neg': 0.347, 'neu': 0.347, 'pos': 0.306, 'compound': -0.1531}",0.347,0.347,0.306,-0.1531,0
6499,"fabulous bad , else could ask !","{'neg': 0.372, 'neu': 0.294, 'pos': 0.334, 'compound': -0.1007}",0.372,0.294,0.334,-0.1007,0
7223,cheap fake . nothing like real emerald nuts buy store . complete waste money . dont get ripped like .,"{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.8865}",0.53,0.47,0.0,-0.8865,0
7974,"great stand-in ca n't make starbucks . love instant version home . love , love , love .","{'neg': 0.527, 'neu': 0.313, 'pos': 0.16, 'compound': -0.8545}",0.527,0.313,0.16,-0.8545,0
8327,"coffee tastes great , cups get torn apart brewing . mess ! ! quite disappointed like flavor coffee ! !","{'neg': 0.363, 'neu': 0.361, 'pos': 0.276, 'compound': -0.292}",0.363,0.361,0.276,-0.292,0
8672,worst ! ! ! plan awful bitter strong taste hazel nut flavor ! ! ! ! ! buy product save money ! ! ! ! !,"{'neg': 0.433, 'neu': 0.313, 'pos': 0.254, 'compound': -0.6776}",0.433,0.313,0.254,-0.6776,0
9036,"coffee tastes great , cups get torn apart brewing . mess ! ! quite disappointed like flavor coffee ! !","{'neg': 0.363, 'neu': 0.361, 'pos': 0.276, 'compound': -0.292}",0.363,0.361,0.276,-0.292,0
9381,worst ! ! ! plan awful bitter strong taste hazel nut flavor ! ! ! ! ! buy product save money ! ! ! ! !,"{'neg': 0.433, 'neu': 0.313, 'pos': 0.254, 'compound': -0.6776}",0.433,0.313,0.254,-0.6776,0
10115,"salty . even worst problems . weird texture ( cooked perfectly ) tastes horrible . n't eaten pork rinds , please stay away . even worst popcorn tastes better .","{'neg': 0.408, 'neu': 0.354, 'pos': 0.238, 'compound': -0.7717}",0.408,0.354,0.238,-0.7717,0
11058,put product coffee & tastes fantastic ! coffee kindof boring without . excellent product & super good !,"{'neg': 0.369, 'neu': 0.348, 'pos': 0.283, 'compound': -0.2433}",0.369,0.348,0.283,-0.2433,0
11724,warning package things cause cancel ! ! ! would put cancer food ?,"{'neg': 0.617, 'neu': 0.383, 'pos': 0.0, 'compound': -0.865}",0.617,0.383,0.0,-0.865,0
12726,"expensive , nasty low protein ! really n't understand product got good reviews . exagerating taste nasty . drunk rest flushed toilet . bad !","{'neg': 0.498, 'neu': 0.41, 'pos': 0.092, 'compound': -0.9167}",0.498,0.41,0.092,-0.9167,0
12837,"worst tasting macadamia nuts ever arrived rancid . feel sick eating . get even one star , rancid , meaning poison . ca n't believe amazon would sell rancid food allow way returned refund . thinking twice order food item amazon . n't trust amazon much .","{'neg': 0.517, 'neu': 0.451, 'pos': 0.032, 'compound': -0.98}",0.517,0.451,0.032,-0.98,0
13266,"bad , perfectly drinkable , bland liqueur . bitter columbians , , unfortunately , goes back 'bland ' bit .","{'neg': 0.416, 'neu': 0.383, 'pos': 0.201, 'compound': -0.5423}",0.416,0.383,0.201,-0.5423,0
13314,girls hated . gagged soon smelled .... ! gross ! ! like dog food worse .,"{'neg': 0.615, 'neu': 0.272, 'pos': 0.113, 'compound': -0.9017}",0.615,0.272,0.113,-0.9017,0
14430,item arrived horrible mess . broken sticky . want money back ! dissappointed . expected better amazon .,"{'neg': 0.421, 'neu': 0.314, 'pos': 0.265, 'compound': -0.6696}",0.421,0.314,0.265,-0.6696,0
14943,"n't great . funny aftertaste . probably would n't buy . texture wise , great though .","{'neg': 0.591, 'neu': 0.409, 'pos': 0.0, 'compound': -0.8897}",0.591,0.409,0.0,-0.8897,0
14968,"... n't taste exactly like fresh roasted chestnuts . , eh , bad ! like 'em .","{'neg': 0.438, 'neu': 0.437, 'pos': 0.126, 'compound': -0.6919}",0.438,0.437,0.126,-0.6919,0
15974,love walnuts thought would save money buy bulk . unpleasant surprise . horribly stale distinctive bad bad bad bad taste . told emerald nuts good maybe got bad batch ( 6 canisters ? ? unlikely ) . definitely never buy ever recommend anyone .,"{'neg': 0.45, 'neu': 0.313, 'pos': 0.236, 'compound': -0.9283}",0.45,0.313,0.236,-0.9283,0
16323,good mild coffee drinker n't like strong bold blend morning . n't like burnt tasting coffee one like best .,"{'neg': 0.383, 'neu': 0.375, 'pos': 0.242, 'compound': -0.2769}",0.383,0.375,0.242,-0.2769,0
16448,"seems weak . must honest , ordered wrong coffee . sad . n't bad base iced coffee .","{'neg': 0.391, 'neu': 0.344, 'pos': 0.265, 'compound': -0.4497}",0.391,0.344,0.265,-0.4497,0
17664,coffee extremely weak taste well . recommend wasting money .,"{'neg': 0.399, 'neu': 0.271, 'pos': 0.33, 'compound': -0.2568}",0.399,0.271,0.33,-0.2568,0
17710,product good . gave 1 star poor packaging broken cookies .,"{'neg': 0.44, 'neu': 0.355, 'pos': 0.206, 'compound': -0.5106}",0.44,0.355,0.206,-0.5106,0
18837,"odd tasting , boarding rancid. < br / > sure bad batch ? care ... avocado oil , tasted noting like .","{'neg': 0.354, 'neu': 0.342, 'pos': 0.304, 'compound': -0.3182}",0.354,0.342,0.304,-0.3182,0
19473,"odor free , fact , stink bully sticks past . would .","{'neg': 0.415, 'neu': 0.352, 'pos': 0.232, 'compound': -0.3818}",0.415,0.352,0.232,-0.3818,0
19948,got store day taste nasty . good sore throats though .,"{'neg': 0.407, 'neu': 0.4, 'pos': 0.193, 'compound': -0.4939}",0.407,0.4,0.193,-0.4939,0
20083,"n't like illy . roasted . like starbucks , peets going like . hate starbucks may like . like beans almost burnt .","{'neg': 0.564, 'neu': 0.436, 'pos': 0.0, 'compound': -0.9052}",0.564,0.436,0.0,-0.9052,0
20149,mine died one week shipped . wasted money plant . sent dead bonsai back seller .,"{'neg': 0.526, 'neu': 0.474, 'pos': 0.0, 'compound': -0.9022}",0.526,0.474,0.0,-0.9022,0
20563,tried chocolate raspberry syrups tasted horrible ; flavors bitter ruined coffee. < br / > purchase total waste . disgusted spending much w/out knowledge product .,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.9393}",0.51,0.49,0.0,-0.9393,0
20910,packaging bad arrived crushed . hardly eatable . buy site . arrives broken pieces . would recommend,"{'neg': 0.45, 'neu': 0.431, 'pos': 0.12, 'compound': -0.7845}",0.45,0.431,0.12,-0.7845,0
